Code,Species,Interaction,Year,Date,Locality,Habitat,Provincias,Latitude,Longitud,Altitude (m),Collectors (leg.),sex,Intertegular_distance (mm),Est.Weight,CI_Lower,CI_Upper
VAL250110,Bombus pascuorum,Centaurium littorale,2025,26/06/2025,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.877.239,-32.404.513,9.794.815.265,AM; LC; ET,Female,3.68,51.60298963210766,29.241594114690773,91.31383305310938
VAL250111,Bombus pascuorum,Centaurium littorale,2025,26/06/2025,"Lahoz, Valderejo, Valdegovía",Natural,Araba,428.877.239,-32.404.513,9.794.815.265,AM; LC; ET,Female,3.85,57.201122407854356,32.18669224568255,99.60333406978994
KAR250401,Bombus pascuorum,Trifolium pratense,2025,17/06/2025,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,LC; ET,Female,5.66,134.83600552116195,77.18246659716094,232.0595727884569
KAR250402,Bombus pascuorum,Prunella vulgaris,2025,17/06/2025,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,LC; ET,Female,3.91,58.92793774682255,33.022340381873015,103.39404783233859
KAR250403,Bombus pascuorum,Echium vulgare,2025,17/06/2025,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,LC; ET,Female,5.01,103.24939981915443,60.0073596015262,180.73045864143046
KAR250405,Bombus pascuorum,na,2025,17/06/2025,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,LC; ET,Female,5.28,116.0723463515076,66.87855415374612,202.42768341911545
KAR250406,Bombus pascuorum,Prunella vulgaris,2025,17/06/2025,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,LC; ET,Female,3.47,45.45648529864886,26.009095783621483,79.91024698059299
KAR250407,Bombus pascuorum,Lotus sp.,2025,17/06/2025,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,LC; ET,Female,4.15,67.62842888094545,38.58236842633031,115.73423648915323
KAR250408,Bombus pascuorum,Prunella vulgaris,2025,17/06/2025,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,LC; ET,Female,3.64,49.93632203605722,28.375678776637223,88.88139715824184
KAR250409,Bombus pascuorum,Echium vulgare,2025,17/06/2025,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,LC; ET,Female,3.93,59.852318813271516,33.26074251838766,106.0373425990886
KAR250410,Bombus pascuorum,Lathyrus latifolius,2025,17/06/2025,"Escota, Ribera-Alta",Agrícola,Araba,42.836.072,-29.558.087,760.392,LC; ET,Female,5.92,150.03094325846186,85.56089456608332,262.10460349885574
